Accession	Host	Species	Location	Author	Reference	Pubmed	Gene	Date
DQ266010	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266011	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266012	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266013	Pseudocyphellaria intricata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266014	Pseudocyphellaria hirsuta	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266015	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266016	Pseudocyphellaria coriifolia	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266017	Pseudocyphellaria pilosella	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266018	Pseudocyphellaria mallota	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266019	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266020	Pseudocyphellaria intricata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266021	Pseudocyphellaria crocata	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266022	Pseudocyphellaria coriifolia	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266023	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266024	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266025	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266026	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266027	Sticta gaudichaldia	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266028	Sticta hypochra	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266029	Stereocaulon exutum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266030	Stereocaulon fronduliferum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266031	Stereocaulon tomentosum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266032	Protopannaria pezizoides	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266033	Fuscopannaria leucophaea	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266034	Peltigera degenii	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266035	Peltigera neopolydactyla	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266036	Massalongia carnosa	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266037	Leptogium saturninum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266038	Leptogium saturninum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266039	Collema flaccidum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266040	Collema flaccidum	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266041	Pseudocyphellaria scabrosa	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
DQ266042	Pseudocyphellaria lechleri	Nostoc sp.		Stenroos	Cladistics 22 (3), 230-238 (2006)		rbcX	130819
EF102295	Degelia plumbea	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102296	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102297	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102298	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102299	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102300	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102301	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102302	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102303	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102304	Lobaria pulmonaria	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102305	Lobaria scrobiculata	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102306	Nephroma bellum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102307	Nephroma bellum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102308	Nephroma bellum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102309	Nephroma bellum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102310	Nephroma bellum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102311	Nephroma bellum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102312	Nephroma laevigatum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102313	Nephroma laevigatum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102314	Nephroma parile	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102315	Nephroma parile	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102316	Nephroma parile	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102317	Nephroma parile	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102318	Nephroma resupinatum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102319	Nephroma resupinatum	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102320	Nephroma tangeriense	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102321	Protopannaria pezizoides	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102322	Parmeliella triptophylla	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102323	Parmeliella triptophylla	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
EF102324	Parmeliella triptophylla	Nostoc sp.		Myllys	New Phytol. 173 (3), 621-629 (2007)	17244057	rbcX	130819
