EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
AY577537	free-living	Nostoc desertorum 	CM1-VF14	 	Rehakova	"Phycologia 46, 481-502 (2007)"	 
AB075987	free-living	Fischerella thermalis 	PCC 7521	 	Tomitani	"Proc. Natl. Acad. Sci. U.S.A. 103 (14), 5442-5447 (2006)"	16569695
AB075991	free-living	Nodularia sp.	KAC 17	 	Tomitani	"Proc. Natl. Acad. Sci. U.S.A. 103 (14), 5442-5447 (2006)"	16569695
AB075996	free-living	Scytonema hofmanni 	PCC 7110	 	Tomitani	"Proc. Natl. Acad. Sci. U.S.A. 103 (14), 5442-5447 (2006)"	16569695
JQ007729	Nephroma laevigatum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007730	Sticta fuliginosa	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007731	Nephroma laevigatum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007732	Sticta sylvatica	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007733	Nephroma cellulosum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007734	Nephroma cellulosum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007735	Nephroma cellulosum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007736	Pseudocyphellaria cf. hirsuta	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007737	Sticta sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007738	Pseudocyphellaria sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007739	Sticta sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007740	Leptogium sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007741	Pseudocyphellaria sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007744	Lobaria scrobiculata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007745	Lobaria scrobiculata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007746	Lobaria scrobiculata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007747	Parmeliella sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007748	Pseudocyphellaria cf. hirsuta	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007749	Pseudocyphellaria cf. crocata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007750	Nephroma helveticum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007751	Nephroma parile	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007752	Nephroma parile	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007753	Nephroma parile	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007754	Nephroma parile	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007755	Nephroma parile	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007756	Nephroma parile	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007757	Nephroma parile	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007758	Nephroma parile	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007759	Nephroma bellum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007760	Peltigera degenii	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007761	Leptogium furfuraceum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007762	Peltigera rufescens	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007763	Nephroma arcticum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007764	Nephroma arcticum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007765	Leptogium lichenoides	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007766	Leptogium lichenoides	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007767	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007768	Protopannaria pezizoides	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007769	Peltigera dolichorrhiza	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007770	Peltigera membranacea	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007771	Peltigera membranacea	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007772	Peltigera hymenina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007773	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007774	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007775	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007776	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007777	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007778	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007779	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007780	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007781	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007782	Peltigera collina	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007784	Peltigera evansiana	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007785	Peltigera sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007787	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007788	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007789	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007790	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007791	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007792	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007793	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007794	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007795	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007796	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007797	Peltigera praetextata	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007798	Peltigera polydactylon	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007799	Nephroma arcticum	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007800	Peltigera sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007801	Peltigera sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007802	Peltigera degenii	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007803	Peltigera degenii	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007804	Peltigera degenii	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007805	Peltigera degenii	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007806	Peltigera neopolydactyla	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007807	Peltigera neopolydactyla	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007808	Peltigera neopolydactyla	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007809	Peltigera membranacea	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007810	Peltigera degenii	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007811	Peltigera degenii	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007812	Peltigera sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007813	Peltigera sp.	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007814	Peltigera degenii	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007816	Peltigera membranacea	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007817	Peltigera membranacea	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007818	Peltigera membranacea	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007819	Peltigera neopolydactyla	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
JQ007836	Degelia atlantica	Nostoc 	 	 	Kaasalainen	"Proc. Natl. Acad. Sci. U.S.A. 109 (15), 5886-5891 (2012)"	22451908
AB271212	free-living	Dolichospermum spiroides	 	 	Ishikawa	Published Only in Database (2006)	 
AF506237	Blasia pusilla	cf. Calothrix sp. 'muscicolous cyanobiont 5'	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506238	free-living	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506239	Peltigera pruinosa	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506240	Peltigera venosa	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506241	 Nephroma arcticum 	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506242	free-living	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506243	Peltigera pruinosa	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506244	Lobaria hallii	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506245	Peltigera collina	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506246	free-living	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506247	Peltigera praetextata	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506248	Nephroma expallidum 	Nostoc sp.	9.4.19	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506249	Peltigera malacea	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506250	free-living	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506251	Nephroma parile	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506252	Nephroma parile	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506253	Nephroma parile	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506254	Parmeliella triptophylla	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506255	Parmeliella triptophylla	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506256	Nephroma bellum	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506257	Nephroma parile	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506258	Nephroma helveticum	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506259	Lobaria retigera 	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506260	Nephroma helveticum	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506261	Lobaria pulmonaria	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506262	Nephroma helveticum	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506263	Nephroma resupinatum	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506264	Nephroma laevigatum	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF506265	Nephroma resupinatum	Nostoc sp.	 	 	Rikkinen	"Science 297 (5580), 357 (2002)"	12130774
AF062637	free-living	Nostoc sp.	GSV224	 	Hoffmann	"Submitted (01-MAY-1998) Chemistry, University of Hawaii at Manoa, 2545 The Mall, Honolulu, HI 96822, USA"	 
AF062638	free-living	Nostoc sp.	ATCC 53789	 	Hoffmann	"Submitted (01-MAY-1998) Chemistry, University of Hawaii at Manoa, 2545 The Mall, Honolulu, HI 96822, USA"	 
AY069954	free-living	Scytonema sp.	U-3-3	 	Hoffmann	"Submitted (12-DEC-2001) Chemistry, University of Hawaii at Manoa, 2545 McCarthy Mall, Honolulu, HI 96822, USA"	 
AY034793	free-living	Hapalosiphon welwitschii	 	 	Hoffmann	"Submitted (14-MAY-2001) Chemistry, University of Hawaii at Manoa, 2545 McCarthy Mall, Honolulu, HI 96822, USA"	 
AB093483	free-living	Scytonema sp.	IAM M-262	 	Seo	Unpublished	 
AB093484	free-living	Hapalosiphon delicatulus 	IAM M-266	 	Seo	Unpublished	 
AB093491	free-living	Fischerella sp.	IAM M-263	 	Seo	Unpublished	 
AF091150	free-living	Anabaena cylindrica 	NIES19 (PCC7122)	 	Neilan	Unpublished	 
AF160256	free-living	Anabaena bergii	283A	 	Schembri	Unpublished	 
AF247596	free-living	Dolichospermum flos-aquae	NRC44-1	 	Beltran	Unpublished	 
AF317630	free-living	Nostoc sp.	AWT 203	 	Beltran	Unpublished	 
AF317631	free-living	Nostoc sp.	PCC 7120	 	Beltran	Unpublished	 
AF334698	free-living	Scytonema hyalinum	FI-8A	 	Flechtner	Unpublished	 
AF334700	free-living	Scytonema hyalinum	FI-8A	 	Flechtner	Unpublished	 
AJ621832	free-living	Chroococcus submarinus 	kopara-BM	 	Richert	Unpublished	 
AY224195	free-living	Synechocystis sp.	PCC 6803	 	Minda	Unpublished	 
DQ235801	free-living	Scytonema sp.	CCG1	 	Gaylarde	Unpublished	 
EF545603	free-living	Mastigocladus sp.	 	 	Morales	Unpublished	 
EU022740	free-living	Nostoc sp.	 	 	Liaimer	Unpublished	 
EU022742	Blasia pusilla	Nostoc sp.	 	 	Liaimer	Unpublished	 
EU178142	free-living	Nostoc commune 	AHNG0605	 	Liu	Unpublished	 
EU178143	free-living	Nostoc flagelliforme 	IMGA0408	 	Liu	Unpublished	 
EU178144	free-living	Nostoc sphaeroides 	HBHF0604	 	Liu	Unpublished	 
AY218827	free-living	Nostoc muscorum 	CENA18	 	Fiore Mde	"Water Res. 39 (20), 5017-5026 (2005)"	16289234
JN847333	Lobaria pulmonaria	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847334	Nephroma bellum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847335	Nephroma resupinatum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847336	Nephroma resupinatum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847337	Leptogium gelatinosum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847339	Lobaria pulmonaria	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847340	Nephroma washingtoniense	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847341	Nephroma washingtoniense	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847342	Pseudocyphellaria sp.	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847343	Sticta weigelii	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847344	Leptogium palmatum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847345	Lobaria pulmonaria	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847346	Pseudocyphellaria sp.	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847347	Leptogium pseudofurfuraceum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847348	Collema nigrescens	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847349	Nephroma helveticum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847350	Fuscopannaria leucostictoides	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847351	Sticta limbata	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847352	Collema nigrescens	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847353	Leptogium furfuraceum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847354	Pseudocyphellaria sp.	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847355	Pseudocyphellaria sp.	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847357	Lobaria pulmonaria	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847358	Lobaria virens	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847359	Nephroma laevigatum	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847361	Parmeliella triptophylla	Nostoc 			Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
