EU282432	Siberian permafrost	Nostoc sp.	195-A22	 	Vishnivetskaya	"(in) Margesin,R. (Ed.); PERMAFROST SOILS: 73-84; Springer-Verlag Berlin Heidelberg (2009)"	 
DQ265943	Pseudocyphellaria coriifolia	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265944	Sticta hypochra	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265945	Sticta hypochra	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265946	Sticta hypochra	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265947	Sticta hypochra	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265948	Sticta hypochra	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265949	Stereocaulon ramulosum	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265950	Stereocaulon exutum	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265951	Stereocaulon fronduliferum	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265952	Stereocaulon tomentosum	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265953	Protopannaria pezizoides	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265954	Fuscopannaria leucophaea	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265955	Peltigera degenii	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265956	Peltigera neopolydactyla	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265957	Leptogium saturninum	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265958	Leptogium saturninum	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265959	Collema flaccidum	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265960	Collema flaccidum	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
DQ265961	Pseudocyphellaria scabrosa	Nostoc sp.	 	 	Stenroos	"Cladistics 22 (3), 230-238 (2006)"	 
JN847338	Lobaria oregana	Nostoc 	 	 	Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847356	Sticta fuliginosa	Nostoc 	 	 	Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
JN847360	Nephroma parile	Nostoc 	 	 	Olsson	"Curr. Genet. 58 (1), 49-58 (2012)"	22210193
DQ914863	free-living	Chroococcidiopsis sp.	CC1	 	Pointing	"Environ. Microbiol. 9 (2), 414-424 (2007)"	17222139
DQ185203	Peltigera membranacea	Nostoc sp.	 	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
DQ185204	Peltigera canina	Nostoc sp.	Mollenhauer 1:1-064	 	O'Brien	"Eur. J. Phycol. 40 (4), 363-378 (2005)"	 
